disease,MEDICATION:
Alkylating Agent Cystitis,sodium bicarbonate; citric acid / sodium citrate; sodium bicarbonate; citric acid / sodium citrate; sodium bicarbonate; citric acid / sodium citrate; sodium bicarbonate; citric acid / sodium citrate; sodium bicarbonate; citric acid / sodium citrate; sodium bicarbonate; citric acid / sodium citrate
Abdominal Distension,bethanechol; pamabrom; bethanechol; pamabrom; bethanechol; pamabrom; bethanechol; pamabrom
Abdominal Distension Prior to Abdominal X-ray,vasopressin
Abdominal Radiological Procedure,vasopressin; vasopressin
Abnormal Uterine Bleeding,medroxyprogesterone; norethindrone; megestrol; levonorgestrel; ethinyl estradiol / levonorgestrel; ethinyl estradiol / norgestimate; ethinyl estradiol / norethindrone; desogestrel / ethinyl estradiol; medroxyprogesterone; norethindrone; megestrol; levonorgestrel; ethinyl estradiol / levonorgestrel; ethinyl estradiol / norgestimate; ethinyl estradiol / norethindrone; desogestrel / ethinyl estradiol; medroxyprogesterone; norethindrone; megestrol; levonorgestrel; ethinyl estradiol / levonorgestrel; ethinyl estradiol / norgestimate; ethinyl estradiol / norethindrone; desogestrel / ethinyl estradiol; medroxyprogesterone; norethindrone; megestrol; levonorgestrel; ethinyl estradiol / levonorgestrel; ethinyl estradiol / norgestimate; ethinyl estradiol / norethindrone; desogestrel / ethinyl estradiol
Abortion,misoprostol; mifepristone; oxytocin; carboprost; dinoprostone; misoprostol; mifepristone; oxytocin; carboprost; dinoprostone
Ectopic Pregnancy,methotrexate; methotrexate
CNS Infection,cefotaxime; cefotaxime; cefotaxime; cefotaxime; cefotaxime; cefotaxime
Seizures (Convulsions),levetiracetam; phenobarbital; phenytoin; diazepam; oxcarbazepine; zonisamide; topiramate; valproic acid; primidone; levetiracetam; phenobarbital; phenytoin; diazepam; oxcarbazepine; zonisamide; topiramate; valproic acid; primidone; levetiracetam; phenobarbital; phenytoin; diazepam; oxcarbazepine; zonisamide; topiramate; valproic acid; primidone; levetiracetam; phenobarbital; phenytoin; diazepam; oxcarbazepine; zonisamide; topiramate; valproic acid; primidone; levetiracetam; phenobarbital; phenytoin; diazepam; oxcarbazepine; zonisamide; topiramate; valproic acid; primidone
Angina,aspirin; nitroglycerin; metoprolol; amlodipine; isosorbide mononitrate; isosorbide dinitrate; enoxaparin; ranolazine; atenolol; carvedilol; amlodipine / atorvastatin; aspirin; nitroglycerin; metoprolol; amlodipine; isosorbide mononitrate; isosorbide dinitrate; enoxaparin; ranolazine; atenolol; carvedilol; amlodipine / atorvastatin; aspirin; nitroglycerin; metoprolol; amlodipine; isosorbide mononitrate; isosorbide dinitrate; enoxaparin; ranolazine; atenolol; carvedilol; amlodipine / atorvastatin; aspirin; nitroglycerin; metoprolol; amlodipine; isosorbide mononitrate; isosorbide dinitrate; enoxaparin; ranolazine; atenolol; carvedilol; amlodipine / atorvastatin; aspirin; nitroglycerin; metoprolol; amlodipine; isosorbide mononitrate; isosorbide dinitrate; enoxaparin; ranolazine; atenolol; carvedilol; amlodipine / atorvastatin; aspirin; nitroglycerin; metoprolol; amlodipine; isosorbide mononitrate; isosorbide dinitrate; enoxaparin; ranolazine; atenolol; carvedilol; amlodipine / atorvastatin; aspirin; nitroglycerin; metoprolol; amlodipine; isosorbide mononitrate; isosorbide dinitrate; enoxaparin; ranolazine; atenolol; carvedilol; amlodipine / atorvastatin; aspirin; nitroglycerin; metoprolol; amlodipine; isosorbide mononitrate; isosorbide dinitrate; enoxaparin; ranolazine; atenolol; carvedilol; amlodipine / atorvastatin; aspirin; nitroglycerin; metoprolol; amlodipine; isosorbide mononitrate; isosorbide dinitrate; enoxaparin; ranolazine; atenolol; carvedilol; amlodipine / atorvastatin; aspirin; nitroglycerin; metoprolol; amlodipine; isosorbide mononitrate; isosorbide dinitrate; enoxaparin; ranolazine; atenolol; carvedilol; amlodipine / atorvastatin; aspirin; nitroglycerin; metoprolol; amlodipine; isosorbide mononitrate; isosorbide dinitrate; enoxaparin; ranolazine; atenolol; carvedilol; amlodipine / atorvastatin
Fecal Incontinence,dextranomer / sodium hyaluronate; dextranomer / sodium hyaluronate; dextranomer / sodium hyaluronate; dextranomer / sodium hyaluronate
Acetaminophen Overdose,acetylcysteine; acetylcysteine
Tendonitis,meloxicam; naproxen; indomethacin; trolamine salicylate; sulindac; meloxicam; naproxen; indomethacin; trolamine salicylate; sulindac; meloxicam; naproxen; indomethacin; trolamine salicylate; sulindac
GERD,omeprazole; pantoprazole; ranitidine; famotidine; lansoprazole; esomeprazole; rabeprazole; sucralfate; dexlansoprazole; omeprazole / sodium bicarbonate; omeprazole; pantoprazole; ranitidine; famotidine; lansoprazole; esomeprazole; rabeprazole; sucralfate; dexlansoprazole; omeprazole / sodium bicarbonate; omeprazole; pantoprazole; ranitidine; famotidine; lansoprazole; esomeprazole; rabeprazole; sucralfate; dexlansoprazole; omeprazole / sodium bicarbonate; omeprazole; pantoprazole; ranitidine; famotidine; lansoprazole; esomeprazole; rabeprazole; sucralfate; dexlansoprazole; omeprazole / sodium bicarbonate; omeprazole; pantoprazole; ranitidine; famotidine; lansoprazole; esomeprazole; rabeprazole; sucralfate; dexlansoprazole; omeprazole / sodium bicarbonate; omeprazole; pantoprazole; ranitidine; famotidine; lansoprazole; esomeprazole; rabeprazole; sucralfate; dexlansoprazole; omeprazole / sodium bicarbonate; omeprazole; pantoprazole; ranitidine; famotidine; lansoprazole; esomeprazole; rabeprazole; sucralfate; dexlansoprazole; omeprazole / sodium bicarbonate
Acidosis,sodium bicarbonate; sodium bicarbonate; sodium bicarbonate
Muscle Pain,ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone; ibuprofen; naproxen; acetaminophen; diclofenac; nabumetone
Acne,doxycycline; spironolactone; minocycline; clindamycin; tretinoin; isotretinoin; benzoyl peroxide; adapalene; tetracycline; cephalexin; sulfamethoxazole / trimethoprim; doxycycline; spironolactone; minocycline; clindamycin; tretinoin; isotretinoin; benzoyl peroxide; adapalene; tetracycline; cephalexin; sulfamethoxazole / trimethoprim; doxycycline; spironolactone; minocycline; clindamycin; tretinoin; isotretinoin; benzoyl peroxide; adapalene; tetracycline; cephalexin; sulfamethoxazole / trimethoprim; doxycycline; spironolactone; minocycline; clindamycin; tretinoin; isotretinoin; benzoyl peroxide; adapalene; tetracycline; cephalexin; sulfamethoxazole / trimethoprim; doxycycline; spironolactone; minocycline; clindamycin; tretinoin; isotretinoin; benzoyl peroxide; adapalene; tetracycline; cephalexin; sulfamethoxazole / trimethoprim; doxycycline; spironolactone; minocycline; clindamycin; tretinoin; isotretinoin; benzoyl peroxide; adapalene; tetracycline; cephalexin; sulfamethoxazole / trimethoprim; doxycycline; spironolactone; minocycline; clindamycin; tretinoin; isotretinoin; benzoyl peroxide; adapalene; tetracycline; cephalexin; sulfamethoxazole / trimethoprim; doxycycline; spironolactone; minocycline; clindamycin; tretinoin; isotretinoin; benzoyl peroxide; adapalene; tetracycline; cephalexin; sulfamethoxazole / trimethoprim
Rosacea,doxycycline; metronidazole; minocycline; azelaic acid; sulfacetamide sodium / sulfur; isotretinoin; ivermectin; brimonidine; doxycycline; metronidazole; minocycline; azelaic acid; sulfacetamide sodium / sulfur; isotretinoin; ivermectin; brimonidine
HIV Infection,lamivudine; efavirenz / emtricitabine / tenofovir; ritonavir; emtricitabine / tenofovir; tenofovir; abacavir; lamivudine; efavirenz / emtricitabine / tenofovir; ritonavir; emtricitabine / tenofovir; tenofovir; abacavir; lamivudine; efavirenz / emtricitabine / tenofovir; ritonavir; emtricitabine / tenofovir; tenofovir; abacavir; lamivudine; efavirenz / emtricitabine / tenofovir; ritonavir; emtricitabine / tenofovir; tenofovir; abacavir; lamivudine; efavirenz / emtricitabine / tenofovir; ritonavir; emtricitabine / tenofovir; tenofovir; abacavir; lamivudine; efavirenz / emtricitabine / tenofovir; ritonavir; emtricitabine / tenofovir; tenofovir; abacavir; lamivudine; efavirenz / emtricitabine / tenofovir; ritonavir; emtricitabine / tenofovir; tenofovir; abacavir; lamivudine; efavirenz / emtricitabine / tenofovir; ritonavir; emtricitabine / tenofovir; tenofovir; abacavir; lamivudine; efavirenz / emtricitabine / tenofovir; ritonavir; emtricitabine / tenofovir; tenofovir; abacavir; lamivudine; efavirenz / emtricitabine / tenofovir; ritonavir; emtricitabine / tenofovir; tenofovir; abacavir; lamivudine; efavirenz / emtricitabine / tenofovir; ritonavir; emtricitabine / tenofovir; tenofovir; abacavir; lamivudine; efavirenz / emtricitabine / tenofovir; ritonavir; emtricitabine / tenofovir; tenofovir; abacavir; lamivudine; efavirenz / emtricitabine / tenofovir; ritonavir; emtricitabine / tenofovir; tenofovir; abacavir; lamivudine; efavirenz / emtricitabine / tenofovir; ritonavir; emtricitabine / tenofovir; tenofovir; abacavir; lamivudine; efavirenz / emtricitabine / tenofovir; ritonavir; emtricitabine / tenofovir; tenofovir; abacavir
Methemoglobinemia,methylene blue; methylene blue
Acromegaly,bromocriptine; octreotide; pegvisomant; lanreotide; pasireotide
Erythromelalgia,gabapentin; gabapentin; gabapentin; gabapentin; gabapentin
Actinic Keratosis,fluorouracil; aminolevulinic acid; ingenol
Actinomycosis,amoxicillin; doxycycline; minocycline; penicillin g sodium; penicillin g potassium; amoxicillin; doxycycline; minocycline; penicillin g sodium; penicillin g potassium
"Asthma, acute",albuterol; prednisolone; methylprednisolone; epinephrine; hydrocortisone; theophylline; dexamethasone; levalbuterol; terbutaline; albuterol; prednisolone; methylprednisolone; epinephrine; hydrocortisone; theophylline; dexamethasone; levalbuterol; terbutaline; albuterol; prednisolone; methylprednisolone; epinephrine; hydrocortisone; theophylline; dexamethasone; levalbuterol; terbutaline
Urinary Tract Infection,ciprofloxacin; nitrofurantoin; sulfamethoxazole / trimethoprim; amoxicillin; doxycycline; levofloxacin; ceftriaxone; amoxicillin / clavulanate; cefuroxime; trimethoprim; methenamine; ampicillin; ciprofloxacin; nitrofurantoin; sulfamethoxazole / trimethoprim; amoxicillin; doxycycline; levofloxacin; ceftriaxone; amoxicillin / clavulanate; cefuroxime; trimethoprim; methenamine; ampicillin; ciprofloxacin; nitrofurantoin; sulfamethoxazole / trimethoprim; amoxicillin; doxycycline; levofloxacin; ceftriaxone; amoxicillin / clavulanate; cefuroxime; trimethoprim; methenamine; ampicillin; ciprofloxacin; nitrofurantoin; sulfamethoxazole / trimethoprim; amoxicillin; doxycycline; levofloxacin; ceftriaxone; amoxicillin / clavulanate; cefuroxime; trimethoprim; methenamine; ampicillin; ciprofloxacin; nitrofurantoin; sulfamethoxazole / trimethoprim; amoxicillin; doxycycline; levofloxacin; ceftriaxone; amoxicillin / clavulanate; cefuroxime; trimethoprim; methenamine; ampicillin; ciprofloxacin; nitrofurantoin; sulfamethoxazole / trimethoprim; amoxicillin; doxycycline; levofloxacin; ceftriaxone; amoxicillin / clavulanate; cefuroxime; trimethoprim; methenamine; ampicillin; ciprofloxacin; nitrofurantoin; sulfamethoxazole / trimethoprim; amoxicillin; doxycycline; levofloxacin; ceftriaxone; amoxicillin / clavulanate; cefuroxime; trimethoprim; methenamine; ampicillin
Acute Lymphocytic Leukemia,prednisone; vincristine; cyclophosphamide; methotrexate; asparaginase escherichia coli; daunorubicin; asparaginase erwinia chrysanthemi; teniposide; prednisone; vincristine; cyclophosphamide; methotrexate; asparaginase escherichia coli; daunorubicin; asparaginase erwinia chrysanthemi; teniposide; prednisone; vincristine; cyclophosphamide; methotrexate; asparaginase escherichia coli; daunorubicin; asparaginase erwinia chrysanthemi; teniposide; prednisone; vincristine; cyclophosphamide; methotrexate; asparaginase escherichia coli; daunorubicin; asparaginase erwinia chrysanthemi; teniposide; prednisone; vincristine; cyclophosphamide; methotrexate; asparaginase escherichia coli; daunorubicin; asparaginase erwinia chrysanthemi; teniposide; prednisone; vincristine; cyclophosphamide; methotrexate; asparaginase escherichia coli; daunorubicin; asparaginase erwinia chrysanthemi; teniposide; prednisone; vincristine; cyclophosphamide; methotrexate; asparaginase escherichia coli; daunorubicin; asparaginase erwinia chrysanthemi; teniposide
Acute Coronary Syndrome,clopidogrel; ticagrelor; prasugrel; enoxaparin; eptifibatide; tirofiban
"Acute Coronary Syndrome, Prophylaxis",clopidogrel
Glomerulonephritis,azathioprine; penicillin g benzathine; azathioprine; penicillin g benzathine; azathioprine; penicillin g benzathine; azathioprine; penicillin g benzathine; azathioprine; penicillin g benzathine; azathioprine; penicillin g benzathine; azathioprine; penicillin g benzathine; azathioprine; penicillin g benzathine; azathioprine; penicillin g benzathine
Acute Myeloid Leukemia,cytarabine; vincristine; daunorubicin; idarubicin; decitabine; gemtuzumab; midostaurin; venetoclax; enasidenib; cytarabine liposomal / daunorubicin liposomal; ivosidenib; gilteritinib; glasdegib; cytarabine; vincristine; daunorubicin; idarubicin; decitabine; gemtuzumab; midostaurin; venetoclax; enasidenib; cytarabine liposomal / daunorubicin liposomal; ivosidenib; gilteritinib; glasdegib; cytarabine; vincristine; daunorubicin; idarubicin; decitabine; gemtuzumab; midostaurin; venetoclax; enasidenib; cytarabine liposomal / daunorubicin liposomal; ivosidenib; gilteritinib; glasdegib; cytarabine; vincristine; daunorubicin; idarubicin; decitabine; gemtuzumab; midostaurin; venetoclax; enasidenib; cytarabine liposomal / daunorubicin liposomal; ivosidenib; gilteritinib; glasdegib; cytarabine; vincristine; daunorubicin; idarubicin; decitabine; gemtuzumab; midostaurin; venetoclax; enasidenib; cytarabine liposomal / daunorubicin liposomal; ivosidenib; gilteritinib; glasdegib; cytarabine; vincristine; daunorubicin; idarubicin; decitabine; gemtuzumab; midostaurin; venetoclax; enasidenib; cytarabine liposomal / daunorubicin liposomal; ivosidenib; gilteritinib; glasdegib; cytarabine; vincristine; daunorubicin; idarubicin; decitabine; gemtuzumab; midostaurin; venetoclax; enasidenib; cytarabine liposomal / daunorubicin liposomal; ivosidenib; gilteritinib; glasdegib; cytarabine; vincristine; daunorubicin; idarubicin; decitabine; gemtuzumab; midostaurin; venetoclax; enasidenib; cytarabine liposomal / daunorubicin liposomal; ivosidenib; gilteritinib; glasdegib; cytarabine; vincristine; daunorubicin; idarubicin; decitabine; gemtuzumab; midostaurin; venetoclax; enasidenib; cytarabine liposomal / daunorubicin liposomal; ivosidenib; gilteritinib; glasdegib; cytarabine; vincristine; daunorubicin; idarubicin; decitabine; gemtuzumab; midostaurin; venetoclax; enasidenib; cytarabine liposomal / daunorubicin liposomal; ivosidenib; gilteritinib; glasdegib
Porphyria,chlorpromazine; hemin; givosiran; chlorpromazine; hemin; givosiran
Acute Lymphoblastic Leukemia,methotrexate; mercaptopurine; dasatinib; pegaspargase; doxorubicin; imatinib; asparaginase erwinia chrysanthemi; ponatinib; vincristine liposome; blinatumomab
Acute Myeloblastic Leukemia,doxorubicin
Acute Nonlymphocytic Leukemia,isotretinoin; methotrexate; thioguanine; mitoxantrone; cyclophosphamide; daunorubicin; cytarabine
Acute Otitis Externa,ofloxacin; ciprofloxacin; ciprofloxacin / hydrocortisone; dexamethasone; colistin sulfate / hydrocortisone / neomycin / thonzonium bromide; ofloxacin; ciprofloxacin; ciprofloxacin / hydrocortisone; dexamethasone; colistin sulfate / hydrocortisone / neomycin / thonzonium bromide; ofloxacin; ciprofloxacin; ciprofloxacin / hydrocortisone; dexamethasone; colistin sulfate / hydrocortisone / neomycin / thonzonium bromide; ofloxacin; ciprofloxacin; ciprofloxacin / hydrocortisone; dexamethasone; colistin sulfate / hydrocortisone / neomycin / thonzonium bromide
Acute Promyelocytic Leukemia,tretinoin; arsenic trioxide; tretinoin; arsenic trioxide; tretinoin; arsenic trioxide
Respiratory Distress Syndrome,beractant; poractant; calfactant; beractant; poractant; calfactant; beractant; poractant; calfactant
Sinusitis,amoxicillin; prednisone; amoxicillin / clavulanate; cefdinir; azithromycin; levofloxacin; cefuroxime; clarithromycin; ciprofloxacin; clindamycin; sulfamethoxazole / trimethoprim; moxifloxacin; amoxicillin; prednisone; amoxicillin / clavulanate; cefdinir; azithromycin; levofloxacin; cefuroxime; clarithromycin; ciprofloxacin; clindamycin; sulfamethoxazole / trimethoprim; moxifloxacin; amoxicillin; prednisone; amoxicillin / clavulanate; cefdinir; azithromycin; levofloxacin; cefuroxime; clarithromycin; ciprofloxacin; clindamycin; sulfamethoxazole / trimethoprim; moxifloxacin; amoxicillin; prednisone; amoxicillin / clavulanate; cefdinir; azithromycin; levofloxacin; cefuroxime; clarithromycin; ciprofloxacin; clindamycin; sulfamethoxazole / trimethoprim; moxifloxacin; amoxicillin; prednisone; amoxicillin / clavulanate; cefdinir; azithromycin; levofloxacin; cefuroxime; clarithromycin; ciprofloxacin; clindamycin; sulfamethoxazole / trimethoprim; moxifloxacin; amoxicillin; prednisone; amoxicillin / clavulanate; cefdinir; azithromycin; levofloxacin; cefuroxime; clarithromycin; ciprofloxacin; clindamycin; sulfamethoxazole / trimethoprim; moxifloxacin; amoxicillin; prednisone; amoxicillin / clavulanate; cefdinir; azithromycin; levofloxacin; cefuroxime; clarithromycin; ciprofloxacin; clindamycin; sulfamethoxazole / trimethoprim; moxifloxacin
Anxiety and Stress,sertraline; citalopram; fluoxetine; amitriptyline; venlafaxine; paroxetine; prazosin; fluvoxamine; sertraline; citalopram; fluoxetine; amitriptyline; venlafaxine; paroxetine; prazosin; fluvoxamine; sertraline; citalopram; fluoxetine; amitriptyline; venlafaxine; paroxetine; prazosin; fluvoxamine
Adenosine Deaminase Deficiency,pegademase bovine; elapegademase; pegademase bovine; elapegademase
Adams-Stokes Syndrome,epinephrine; ephedrine; isoproterenol
